tract_id,median_rent,median_value,median_income,median_year_built,avg_household_size
36005024502,1110,360200,28382,1939,3
36005024600,1364,543700,62444,1948,3
36005024700,1202,,41859,1953,3
36005024800,1248,474700,60417,1954,2
36005024900,,,,,
36005025000,1295,452000,71563,1950,3
36005025100,1065,543700,26048,1939,3
36005025200,1397,452400,56932,1947,3
36005025300,1161,226700,29427,1939,3
36005025400,1332,464800,53031,1941,3
36005025500,1059,,26283,1939,3
36005025600,1321,429800,41361,1939,3
36005025700,1158,588500,29736,1939,3
36005026100,1173,150800,70956,1953,2
36005026300,1110,,28626,1939,3
36005026400,1344,416300,66571,1943,3
36005026500,1146,455300,28625,1941,4
36005026601,1311,415400,58125,1951,2
36005026602,1195,379600,43480,1960,2
36005026701,1196,,27365,1939,3
36005026702,1193,439000,36382,1939,3
36005026900,1009,149700,36433,1948,3
36005027300,1225,219700,39367,1941,3
36005027401,1416,527100,83293,1955,3
36005027402,1459,477500,70852,1958,3
36005027600,,112500,60000,1939,4
36005027700,1173,343800,33484,1939,3
36005027900,1265,,59426,1953,3
36005028100,1096,29400,61404,1951,2
36005028300,843,,23911,1953,3
36005028300,843,,23911,1953,3
36005028400,,370000,98482,1939,5
36005028500,1442,,59556,1960,2
36005028600,1463,466900,74861,1945,3
36005028700,1329,467500,52342,1939,3
36005028800,1555,548700,101351,1951,3
36005028900,1199,307800,48750,1939,2
36005028900,1199,307800,48750,1939,2
36005029301,1545,393500,103555,1957,2
36005029301,1545,393500,103555,1957,2
36005029302,1951,222500,96710,1962,2
36005029302,1951,222500,96710,1962,2
36005029500,1650,326800,101875,1958,3
36005029600,1314,413500,51500,1957,2
36005029700,1556,330000,87396,1956,2
36005030000,1380,450400,59770,1955,2
36005030100,554,305800,76000,1962,2
36005030200,1050,28400,52406,1971,2
36005030701,1807,350000,84453,1960,2
36005030900,1783,385200,103709,1963,2
36005031000,1631,489700,81709,1955,3
36005031200,1479,440100,68276,1947,3
36005031400,1277,482000,82778,1951,3
36005031600,1474,540400,62692,1953,3
36005031800,1734,469000,62391,1957,3
36005031900,,,,,
36005032300,1309,247600,89004,1960,2
36005032400,567,473900,25625,1952,2
36005032600,1411,461600,57177,1947,3
36005032800,834,439800,26444,1951,3
36005033000,1050,384600,37648,1955,3
36005033201,1264,165900,44524,1953,2
36005033202,1166,166300,42650,1962,2
36005033400,1230,165500,45833,1941,2
36005033500,1438,291100,98542,1939,2
36005033600,911,151800,32523,1955,3
36005033700,1708,602100,87500,1944,3
36005033800,1205,380500,41875,1947,3
36005034000,1191,412800,35058,1942,3
36005034200,1250,430200,48690,1956,4
36005034300,1523,590800,71810,1951,3
36005034400,1719,461300,61346,1954,4
36005034500,1466,347100,57044,1958,2
36005034800,643,368600,36161,1948,3
36005035000,1543,378600,53802,1956,3
36005035100,1481,239000,74961,1953,2
36005035600,1659,404500,63984,1957,3
36005035800,1236,390200,66458,1959,3
36005035900,977,390000,25341,1987,3
36005036000,1350,417500,63403,1950,3
36005036100,561,238600,21100,1973,3
36005036300,937,,18131,1966,3
36005036400,1245,423500,63750,1944,3
36005036501,899,377100,21039,1972,3
36005036502,954,593000,22105,1972,3
36005036700,1087,425600,23615,1955,3
36005036800,1431,389000,44286,1957,3
36005036901,949,,15735,1939,3
36005036902,846,,23409,1939,3
36005037000,1583,400700,46354,1957,3
36005037100,887,354300,22477,1954,2
36005037200,1238,339300,45250,1962,3
36005037300,996,331600,32072,1940,3
36005037400,765,614600,27275,1954,3
36005037504,856,,19683,1939,3
36005037600,1448,361400,51837,1955,3
36005037800,1196,369000,34658,1946,3
36005037900,1133,279300,28051,1941,3
36005038000,1191,300600,35485,1958,3
36005038100,1175,436400,34464,1939,3
36005038200,1408,368600,44661,1952,3
36005038301,1162,,28197,1939,3
36005038302,1063,,22083,1939,3
36005038500,1047,400000,21236,1944,3
36005038600,1310,394000,54056,1953,3
36005038700,1176,357500,20469,1939,3
36005038800,1180,385000,56932,1953,3
36005038900,1211,428600,29695,1942,3
36005039000,1388,378900,32438,1956,3
36005039100,1130,312200,31238,1939,3
36005039200,1286,489600,40054,1944,3
36005039300,921,340800,21587,1952,3
36005039400,1166,357700,34517,1953,3
36005039500,1030,359600,24328,1939,3
36005039600,1273,409500,38136,1962,3
36005039700,1035,460000,21549,1939,2
36005039800,1345,373300,61484,1952,3
36005039901,1151,364100,25903,1939,3
36005039902,1141,,33229,1939,3
36005040100,1213,,29394,1939,3
36005040302,1189,,27156,1939,3
36005040303,1171,352400,40838,1939,3
36005040304,1244,,30923,1939,3
36005040400,1184,372300,45381,1939,3
36005040501,1178,438700,35436,1939,3
36005040502,1117,512100,23142,1939,3
36005040600,1212,397400,48194,1939,3
36005040701,1206,,36607,1939,3
36005040702,1090,,29946,1939,3
36005040800,1219,402000,33875,1941,3
36005040900,1043,,46447,1969,2
36005041100,1334,173500,40238,1950,3
36005041300,1208,212500,41750,1941,3
36005041400,1292,437200,53809,1944,3
36005041500,1290,,49741,1939,3
36005041800,1351,430200,37991,1939,3
36005041900,1191,407700,37355,1939,3
36005042000,1134,362700,38375,1946,2
36005042100,1090,,31265,1945,3
36005042200,1198,370500,50302,1950,3
36005042300,1177,420000,33194,1939,3
36005042400,1275,371300,62667,1950,3
36005042500,1247,573800,29368,1939,3
36005042600,1479,431600,57153,1957,3
36005042800,1336,377500,66196,1952,3
36005042901,1222,470000,41394,1939,3
36005042902,1233,,27159,1939,3
36005043000,1016,408900,69643,1947,4
36005043100,1181,,28646,1943,3
36005043400,1211,460900,41850,1939,3
36005043500,800,,,2011,3
36005043600,1329,355300,59648,1942,3
36005044200,1198,426000,38333,1941,3
36005044400,1428,379500,60571,1949,3
36005044800,1598,399300,82321,1955,3
36005044901,1249,292400,69231,1941,2
36005044902,1283,430300,66125,1942,2
36005045101,1419,395000,65781,1939,2
36005045102,1399,348400,84018,1951,2
36005045600,1398,527900,74761,1952,3
36005045800,480,,19768,1954,3
36005046000,925,420200,31766,1961,3
36005046201,937,24900,45770,1967,2
36005046202,1058,403200,35733,1968,3
36005048400,1445,379800,68750,1968,3
36005050400,967,,,1941,3
36005051600,1226,475800,80396,1946,2
36047000100,1478,739000,87192,1939,2
36047000100,1478,739000,87192,1939,2
36047000200,1327,462100,48393,1939,4
36047000301,2023,762800,112361,1939,2
36047000301,2023,762800,112361,1939,2
36047000501,1894,727700,124205,1939,2
36047000502,1998,490200,100805,1939,2
36047000700,2115,1235700,133472,1939,2
36047000700,2115,1235700,133472,1939,2
36047000900,2722,715300,124719,1954,2
36047001100,2867,1321400,114844,2010,2
36047001300,2204,433400,105938,1955,2
36047001500,2253,949000,94946,2001,2
36047001800,,,,,
36047002000,1299,564100,61635,1939,3
36047002100,3261,1368600,211071,1959,2
36047002100,3261,1368600,211071,1959,2
36047002200,1184,,42083,1956,3
36047002300,425,,18125,1953,3
36047002901,509,,21226,1946,3
36047003000,1423,630100,75208,1939,3
