"tract_id","median_rent","median_value","median_income","median_year_built","avg_household_size"
"34003054300",3501,616600,192540,1947,3
"34003054400",1387,358100,99821,1944,3
"34003054500",1179,414300,130489,1939,3
"34003054600",1352,361400,97232,1954,3
"34003055100",1713,986900,165104,1955,3
"34003055200",1408,611500,130139,1955,3
"34003056100",1740,416400,106875,1953,3
"34003056200",2092,442500,113452,1960,3
"34003057101",1065,360300,51774,1962,2
"34003057102",1066,393000,63264,1951,3
"34003057200",1329,310400,57083,1951,3
"34003058100",2091,531000,107500,1963,3
"34003058200",2414,481000,116615,1960,3
"34003059100",1764,426800,87938,1961,3
"34003059200",1010,443100,96932,1951,3
"34003060000",1601,383600,99871,1956,3
"34003061100",3207,658700,137000,1964,3
"34003061200",1451,787100,132267,1956,3
"34003061300",1125,802900,150250,1968,3
"34003061400",2050,671600,149554,1962,3
"34013000100",950,230200,37064,1956,3
"34013000200",971,325800,30929,1964,3
"34013000300",426,193400,19734,1952,3
"34013000400",1095,264800,45031,1956,3
"34013000500",1003,206300,33781,1952,3
"34013000600",1101,271100,41226,1950,3
"34013000700",918,267700,26870,1957,3
"34013000800",996,220300,39327,1959,4
"34013000900",788,227100,23115,1954,3
"34013001000",940,211500,31786,1967,3
"34013001100",726,221700,41625,1997,3
"34013001300",1124,,31176,1996,3
"34013001400",994,165800,27328,1956,3
"34013001500",750,286400,17083,1974,3
"34013001600",957,213600,33563,1955,3
"34013001700",1170,171900,30597,1962,3
"34013001800",1168,140000,29896,1980,3
"34013001900",482,171400,23313,1961,3
"34013002000",937,198400,33980,1950,3
"34013002100",993,222500,50476,1944,3
"34013002201",946,228200,33862,1955,3
"34013002202",1224,216700,50163,1945,3
"34013002300",1026,183600,43565,1949,3
"34013002400",1195,179900,26724,1948,3
"34013002500",1179,161400,28179,1954,3
"34013002600",1154,169200,23438,1990,3
"34013002800",1086,197200,29167,1994,3
"34013003100",798,163700,30246,2004,3
"34013003500",1185,173600,32750,1995,3
"34013003700",1147,168000,29038,1953,3
"34013003800",1096,164800,37431,1991,3
"34013003900",470,290000,12191,1978,2
"34013004100",1006,171000,24302,1949,3
"34013004200",1074,170000,35968,1948,3
"34013004300",1198,188500,26059,1983,3
"34013004400",959,207300,31141,1952,3
"34013004500",1040,211700,38512,1947,3
"34013004600",1036,227200,26369,1952,2
"34013004700",1027,232000,45224,1941,3
"34013004801",770,186300,26417,1972,3
"34013004802",318,138800,13689,1961,2
"34013004900",939,249100,34534,1962,3
"34013005000",899,196000,30086,1993,3
"34013005100",1125,197100,46017,1950,3
"34013005200",1192,222400,52292,1954,4
"34013005300",1074,188900,27333,1946,3
"34013005400",795,268200,26390,1959,3
"34013005700",1184,197300,36667,1995,3
"34013006200",683,75000,16518,1970,2
"34013006400",1630,197500,57639,1989,2
"34013006600",797,,34398,1967,2
"34013006700",407,334800,14317,1961,2
"34013006800",1168,336700,41132,1990,3
"34013006900",1110,327000,41985,1955,3
"34013007000",984,234300,45559,1950,3
